customer_id,full_name,date_of_birth,nationality,national_id,phone,email,address_id,occupation,annual_income,customer_risk_level,created_at
CUST-000001,Duong Hieu Son,1955-12-14,SG,928373317513,+84938898923,duong5515@mail-demo.invalid,ADDR-000001,Teacher,205716440,LOW,2021-06-01T23:59:59Z
CUST-000002,Cao Bao Dao,1947-04-25,VN,922821428812,+84941244663,cao1655@example-sandbox.test,ADDR-000002,Retired,148753260,LOW,2025-06-01T23:59:59Z
CUST-000003,Duong Cuong Son,1995-04-22,SG,917627861561,+84940742311,duong526@example-sandbox.test,ADDR-000003,Freelancer,399010119,LOW,2021-10-24T23:59:59Z
CUST-000004,Ngo Hieu Diep,1978-09-16,VN,917541026954,+84924716857,ngo2505@fictitious-mail.dev,ADDR-000004,Accountant,194266288,MEDIUM,2024-06-10T23:59:59Z
CUST-000005,Bui Hanh Tam,2000-12-24,VN,982893704331,+84933978249,bui8318@mail-demo.invalid,ADDR-000005,Student,24217789,MEDIUM,2023-02-16T23:59:59Z
CUST-000006,Do Thao Phong,1952-02-03,JP,922094727776,+84981498611,do2061@mail-demo.invalid,ADDR-000006,Retired,136149359,LOW,2020-09-30T23:59:59Z
CUST-000007,Trinh My Hanh,1970-06-01,AU,942443845891,+84988979095,trinh3609@mail-demo.invalid,ADDR-000007,Teacher,134373643,MEDIUM,2024-05-30T23:59:59Z
CUST-000008,Mai Phuong Phong,2005-04-04,VN,968664884218,+84957553014,mai6940@example-sandbox.test,ADDR-000008,Retired,338538654,MEDIUM,2023-01-08T23:59:59Z
CUST-000009,Duong Phong Em,1983-02-02,KR,913590711152,+84922517517,duong3873@mail-demo.invalid,ADDR-000009,Freelancer,415453652,LOW,2021-02-21T23:59:59Z
CUST-000010,Phan Tam Nam,1958-01-24,SG,914540490283,+84988406989,phan7812@fictitious-mail.dev,ADDR-000010,Consultant,411088834,LOW,2022-06-04T23:59:59Z
CUST-000011,Le Hoa Hieu,1991-05-07,SG,945384886749,+84963121477,le2145@fictitious-mail.dev,ADDR-000011,Marketing Specialist,289849767,LOW,2022-09-28T23:59:59Z
CUST-000012,Dang Lan My,1989-10-26,KR,986523879578,+84950181935,dang1698@mail-demo.invalid,ADDR-000012,Sales Associate,282412652,LOW,2021-09-23T23:59:59Z
CUST-000013,Ngo Son Chi,2003-11-09,VN,973313104671,+84984045292,ngo7008@fictitious-mail.dev,ADDR-000537,Student,32779158,LOW,2021-05-07T23:59:59Z
CUST-000014,Phan Phong Hai,1977-07-20,VN,911770791023,+84934073380,phan5443@example-sandbox.test,ADDR-000014,Factory Worker,420585174,LOW,2021-04-19T23:59:59Z
