external_account_id,masked_account_number,bank_id,country_code,counterparty_name,counterparty_type,available_identifier_type,available_identifier_value,risk_score,first_seen_at,last_seen_at,metadata_source,data_visibility
EXT-ACC-000001,****4527,BANK-TCB-EXT,VN,BUI SON KHANH,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-06T16:56:07Z,2025-12-29T06:33:12Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000002,****6635,BANK-MBB-EXT,VN,HO HAI YEN,INDIVIDUAL,NAME_ONLY,,0.105,2025-10-06T17:12:19Z,2025-12-29T06:52:38Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000003,****9785,BANK-VCB-EXT,VN,EXTERNAL DEMO COMPANY 0012,COMPANY,REGISTRATION_NUMBER,EXT-REG-000012,0.178,2025-10-06T13:35:15Z,2025-12-29T03:12:19Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000004,****4150,BANK-ACB-EXT,VN,DANG NHI BAO,INDIVIDUAL,NAME_ONLY,,0.095,2025-10-04T12:56:05Z,2025-12-30T23:29:03Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000005,****2654,BANK-VCB-EXT,VN,DANG GIANG NGA,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-06T00:31:11Z,2025-12-28T12:27:49Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000006,****6820,BANK-ACB-EXT,VN,DO LAN BAO,INDIVIDUAL,NAME_ONLY,,0.095,2025-10-03T00:25:54Z,2025-12-29T09:11:57Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000007,****9751,BANK-MBB-EXT,VN,LE KIET LAN,INDIVIDUAL,NAME_ONLY,,0.105,2025-10-03T03:59:44Z,2025-12-29T14:00:18Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000008,****6313,BANK-TCB-EXT,VN,VO XUAN NGA,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-03T16:11:57Z,2025-12-30T03:59:26Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000009,****5386,BANK-VCB-EXT,VN,TRAN TUAN DIEP,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-05T12:28:41Z,2025-12-28T00:25:19Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000010,****6155,BANK-FOREIGN-KR-DEMO,KR,EXTERNAL DEMO COMPANY 0019,COMPANY,REGISTRATION_NUMBER,EXT-REG-000019,0.159,2025-10-07T03:50:35Z,2025-12-29T13:11:42Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000011,****3287,BANK-ACB-EXT,VN,DUONG KHANH QUANG,INDIVIDUAL,NAME_ONLY,,0.095,2025-10-03T22:14:49Z,2025-12-30T10:08:48Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000012,****7543,BANK-VPB-EXT,VN,MAI KHOA HIEU,INDIVIDUAL,NAME_ONLY,,0.197,2025-10-06T09:03:06Z,2025-12-28T22:30:27Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000013,****3504,BANK-TCB-EXT,VN,LE DUNG HANH,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-03T21:03:33Z,2025-12-30T09:07:14Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000014,****8668,BANK-ACB-EXT,VN,HO CUONG KIET,INDIVIDUAL,NAME_ONLY,,0.095,2025-10-06T09:06:20Z,2025-12-28T22:33:41Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000015,****1188,BANK-VPB-EXT,VN,EXTERNAL DEMO COMPANY 0024,COMPANY,REGISTRATION_NUMBER,EXT-REG-000024,0.197,2025-10-06T03:19:40Z,2025-12-28T16:01:39Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000016,****2827,BANK-VCB-EXT,VN,DOAN SON VAN,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-05T02:09:52Z,2025-12-31T13:11:59Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000017,****9317,BANK-TCB-EXT,VN,VO TRANG LINH,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-03T09:20:29Z,2025-12-29T20:12:54Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000018,****9317,BANK-MBB-EXT,VN,EXTERNAL DEMO COMPANY 0027,COMPANY,REGISTRATION_NUMBER,EXT-REG-000027,0.105,2025-10-06T02:27:49Z,2025-12-28T15:06:35Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
